pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount,trip_distance
2022-01-01 02:35:00,-73.9856637278413,40.84667174454499,-74.00075053096839,40.64989980673788,4,35.09926551257092,10.477606436707884
2022-01-01 02:40:00,-74.01308658582383,40.82312317278668,-73.84170065830023,40.843697588518936,6,26.02115677969341,10.806486374207264
2022-01-01 02:45:00,-73.78328976031413,40.82692336966062,-73.92972874065822,40.769127398170674,6,80.24495367985463,17.008139492306924
2022-01-01 02:50:00,-73.77893567140062,40.77503379815119,-74.01092161866661,40.84689701460279,2,75.56947367935494,6.33064596355859
2022-01-01 02:55:00,-73.81981668948971,40.705853124304,-73.81869018714778,40.7045565531653,2,10.398879106872712,5.770867759155627
2022-01-01 03:00:00,-73.95080042001493,40.82660270279991,-73.87929605173848,40.84366513546189,2,70.48885678995403,21.53718478784875
2022-01-01 03:05:00,-74.00460525035834,40.694133724193264,-73.96870200665548,40.6620236945003,2,53.25704918907186,0.3242664578724352
2022-01-01 03:10:00,-73.85209941310684,40.75379653953529,-73.7973828946735,40.63895284991635,5,15.38619537154882,4.570631118849517
2022-01-01 03:15:00,-73.9155603516277,40.65194081391566,-74.01823283839366,40.637256493300015,5,74.60470447306578,13.105246659513345
2022-01-01 03:20:00,-73.99827005894036,40.83283023862921,-73.97752690186859,40.73227148153183,3,10.889442604484753,4.557586666984851
2022-01-01 03:25:00,-73.90125400337106,40.66096950070967,-73.83446779877048,40.64826092344529,3,19.772189915633582,28.79839528443639
2022-01-01 03:30:00,-74.02105898451005,40.67947729726069,-73.84556173811943,40.74267693451687,3,17.049581951433403,20.13610814890345
2022-01-01 03:35:00,-73.7935766954595,40.75278951478821,-73.95478935963163,40.70205011077196,4,94.0557569062322,13.039808395181348
2022-01-01 03:40:00,-73.962717204784,40.79810046004686,-74.01387353240828,40.70383837834431,2,70.57021031245326,3.456434901217201
2022-01-01 03:45:00,-73.85774420606796,40.76625728730599,-73.80689970122151,40.76983397923994,5,42.6003780935641,11.617070075623376
2022-01-01 03:50:00,-73.94895512021675,40.68106946081603,-73.94843861410183,40.66588156135336,5,82.6649047077582,19.552989893471025
2022-01-01 03:55:00,-73.89478231449377,40.63020746935605,-73.97911451211866,40.79864174147474,2,23.55604242842077,29.067544680406208
2022-01-01 04:00:00,-73.88785532737074,40.79657312766764,-73.89582392618614,40.7580468023513,3,93.28159470689712,14.233352172859943
2022-01-01 04:05:00,-73.98193784156337,40.84674561170044,-73.79334092818657,40.83128781834645,6,70.45723878571249,20.803126158162936
2022-01-01 04:10:00,-73.77790799678121,40.80818088646734,-74.01867788976072,40.71026494382885,4,57.05911249829289,5.941234020069021
2022-01-01 04:15:00,-73.8284654659261,40.73124545599445,-73.83089093711196,40.84619729825477,5,79.9782237485745,18.74663778499633
2022-01-01 04:20:00,-73.7857302751933,40.8288287975078,-73.88115696073594,40.75668208227709,1,65.36614568895294,7.247741507219808
2022-01-01 04:25:00,-73.7973448888888,40.72016648808604,-73.91938322969652,40.84414843036126,4,88.99315431352203,6.024208158260794
2022-01-01 04:30:00,-73.87454600550912,40.74548549853356,-73.83653908453269,40.63595334389037,4,83.34238435725615,15.325694793934993
2022-01-01 04:35:00,-73.79031269889398,40.734968548827055,-73.77888564964518,40.79015479093073,3,21.78847424147593,6.428762493264637
2022-01-01 04:40:00,-74.0069919494665,40.72847725198642,-73.9704063850977,40.8096567353444,2,25.86722055307592,21.667693064004418
2022-01-01 04:45:00,-73.97904445577102,40.80054196924466,-73.99265168508126,40.64169812306883,1,8.84699784312524,28.126364069893505
2022-01-01 04:50:00,-74.01824090488326,40.74588915959929,-73.79265074624209,40.75737332608357,3,23.96939442434824,11.868702861602571
2022-01-01 04:55:00,-73.94541411400155,40.69967776684555,-73.8560721998611,40.80642730458968,2,35.99016433146813,9.741595962459128
2022-01-01 05:00:00,-73.92894390468074,40.68679479688487,-73.91612363439388,40.75342851954908,1,5.31066712931808,5.358958318721008
2022-01-01 05:05:00,-73.95944925173879,40.63830440973284,-73.88095251173128,40.6440389898892,6,33.20884825553486,11.772853184866111
2022-01-01 05:10:00,-73.8145282476205,40.75830293561428,-73.83614038465417,40.78255839299763,6,77.7257195586618,16.833059306908503
2022-01-01 05:15:00,-73.93724413505967,40.68059151138823,-73.82901170633652,40.64333132122813,5,84.43194080632748,11.251785448492868
2022-01-01 05:20:00,-73.95695702748128,40.662589462843606,-73.79082751298706,40.80984315690362,1,3.365145773773773,18.72997893311665
2022-01-01 05:25:00,-73.88889901837885,40.773842592042094,-73.91902087488714,40.63946752032748,3,3.196836231250187,19.90646010710105
2022-01-01 05:30:00,-73.99335970150656,40.77986603672074,-73.95371316339495,40.660227423822285,1,16.76494305447261,3.025103904240886
2022-01-01 05:35:00,-73.82142878500395,40.795474076296685,-73.86368729063464,40.69052366991512,1,87.5762634215445,20.9637029096874
